,accuracy,f1_score,false_negative,false_positive,intercept,max_beta,min_beta,precision,recall,true_negative,true_positive
0,0.6538461538461539,0.5169946332737031,0.0,9.0,-9.786479521445369,1.01349795323126,-0.2500979484710145,0.42751479289940825,0.6538461538461539,17.0,0.0
1,0.6538461538461539,0.5169946332737031,0.0,9.0,-9.205965353004096,1.0440322492255256,-0.4485891133134715,0.42751479289940825,0.6538461538461539,17.0,0.0
2,0.6153846153846154,0.4688644688644689,0.0,10.0,-17.25636509135603,0.8716064136336059,0.3486346232851327,0.37869822485207105,0.6153846153846154,16.0,0.0
3,0.6923076923076923,0.5664335664335665,0.0,8.0,-10.381775296016098,0.9148782666877386,-0.05170071933762065,0.47928994082840237,0.6923076923076923,18.0,0.0
4,0.5769230769230769,0.4221388367729831,0.0,11.0,-17.012620868821163,0.9385030853776568,0.2169130773022921,0.3328402366863905,0.5769230769230769,15.0,0.0
5,0.6538461538461539,0.5169946332737031,0.0,9.0,-18.167152682961294,1.0422977807415956,0.3070068991838737,0.42751479289940825,0.6538461538461539,17.0,0.0
6,0.6538461538461539,0.5169946332737031,0.0,9.0,-16.394526079963804,0.9778481599364501,0.05166411822479445,0.42751479289940825,0.6538461538461539,17.0,0.0
7,0.6153846153846154,0.4688644688644689,0.0,10.0,-17.639312036093475,0.9022836369647959,0.1347416252630705,0.37869822485207105,0.6153846153846154,16.0,0.0
8,0.7692307692307693,0.6688963210702342,0.0,6.0,-18.488147202838448,1.0089197031541255,0.25955036516447416,0.591715976331361,0.7692307692307693,20.0,0.0
9,0.6538461538461539,0.5169946332737031,0.0,9.0,-9.784458679015783,0.6143961160313188,-0.2552112477279299,0.42751479289940825,0.6538461538461539,17.0,0.0
10,0.5769230769230769,0.4221388367729831,0.0,11.0,-17.391329228423583,0.856039464858461,0.2051462754283885,0.3328402366863905,0.5769230769230769,15.0,0.0
11,0.6538461538461539,0.5169946332737031,0.0,9.0,-15.972934958565354,1.1747263792225193,0.09726511216728762,0.42751479289940825,0.6538461538461539,17.0,0.0
12,0.7692307692307693,0.6688963210702342,0.0,6.0,-8.928299060946298,0.8626749289677484,-0.16912193277862161,0.591715976331361,0.7692307692307693,20.0,0.0
13,0.6538461538461539,0.5169946332737031,0.0,9.0,-16.909595574856976,0.9410211048009478,0.17914656819080474,0.42751479289940825,0.6538461538461539,17.0,0.0
14,0.6538461538461539,0.5169946332737031,0.0,9.0,-9.755515771626644,0.8748088563611791,-0.0565740467613131,0.42751479289940825,0.6538461538461539,17.0,0.0
15,0.6538461538461539,0.5169946332737031,0.0,9.0,-9.94209921943131,0.7171596554812563,-0.24030279132183058,0.42751479289940825,0.6538461538461539,17.0,0.0
16,0.6538461538461539,0.5169946332737031,0.0,9.0,-10.372883523940756,0.7802568135171699,-0.2585434007434443,0.42751479289940825,0.6538461538461539,17.0,0.0
17,0.6538461538461539,0.5169946332737031,0.0,9.0,-10.108920183141594,0.9100901767521877,-0.35370116824091674,0.42751479289940825,0.6538461538461539,17.0,0.0
18,0.5384615384615384,0.37692307692307697,0.0,12.0,-16.154869018151754,0.8564413594141285,0.2091461361684759,0.28994082840236685,0.5384615384615384,14.0,0.0
19,0.6538461538461539,0.5169946332737031,0.0,9.0,-7.641690273511908,0.8377714060494581,-0.32868350194269585,0.42751479289940825,0.6538461538461539,17.0,0.0
20,0.6923076923076923,0.5664335664335665,0.0,8.0,-15.865966451374057,1.201187696702603,0.10657985086448442,0.47928994082840237,0.6923076923076923,18.0,0.0
21,0.6538461538461539,0.5169946332737031,0.0,9.0,-6.60792249766976,0.8738930698523839,-0.5977852580672294,0.42751479289940825,0.6538461538461539,17.0,0.0
22,0.6538461538461539,0.5169946332737031,0.0,9.0,-17.70710312810602,0.9435779200764854,0.21989766410090397,0.42751479289940825,0.6538461538461539,17.0,0.0
23,0.6923076923076923,0.5664335664335665,0.0,8.0,-10.251591275782529,1.335824844939474,-0.19991429008642483,0.47928994082840237,0.6923076923076923,18.0,0.0
24,0.5769230769230769,0.4221388367729831,0.0,11.0,-17.659954158511574,0.917152239277517,0.0935568802255072,0.3328402366863905,0.5769230769230769,15.0,0.0
25,0.7307692307692307,0.6170940170940169,0.0,7.0,-17.121200796534673,1.238212903193054,0.2962828108836092,0.5340236686390532,0.7307692307692307,19.0,0.0
26,0.7692307692307693,0.6688963210702342,0.0,6.0,-15.59529907793699,1.054752649563337,0.20055630577858677,0.591715976331361,0.7692307692307693,20.0,0.0
27,0.5769230769230769,0.4221388367729831,0.0,11.0,-8.401748422968915,0.7590171020212312,-0.09191823124916076,0.3328402366863905,0.5769230769230769,15.0,0.0
28,0.5769230769230769,0.4221388367729831,0.0,11.0,-16.43196814746318,1.0555503837938172,0.08671097341680042,0.3328402366863905,0.5769230769230769,15.0,0.0
29,0.6153846153846154,0.4688644688644689,0.0,10.0,-14.506783033832772,1.048710902131695,-0.0032342737230799746,0.37869822485207105,0.6153846153846154,16.0,0.0
30,0.6538461538461539,0.5169946332737031,0.0,9.0,-17.130568332956834,1.0710419187817755,0.12507668789054302,0.42751479289940825,0.6538461538461539,17.0,0.0
31,0.8076923076923077,0.7217675941080196,0.0,5.0,-6.826947606527819,0.9028140652777884,-0.32918592935655355,0.6523668639053255,0.8076923076923077,21.0,0.0
32,0.5769230769230769,0.4221388367729831,0.0,11.0,-16.37481745070318,0.9181161021742091,0.18275016397827112,0.3328402366863905,0.5769230769230769,15.0,0.0
